"method","n","replication","full_mae1","full_rmse1","bound_mae1","bound_rmse1","inter_mae1","inter_rmse1","full_mae2","full_rmse2","bound_mae2","bound_rmse2","inter_mae2","inter_rmse2","runtime"
"Random",20,13,8.37190846080177,2.74656145356812,9.95794412950115,3.36531754039538,7.64895645920589,2.41242294368386,1.06222861230103,2.03570118725067,1.58855154761156,2.94073725683004,0.822318358655456,1.44606940280172,0
"Random",20,14,4.77411191248458,1.43408421475685,6.97027349630318,2.0674245438697,3.77090883132966,1.02155767480325,1.75464934463272,2.5446622877596,2.53961167738095,3.45329364957543,1.3960798128616,1.99644346211948,0
"Random",20,15,6.16135354154798,1.88795043260756,9.51594014063704,2.68802827951206,4.63225483071822,1.37678041500406,3.02261125538614,5.13556635056298,4.42464774146879,7.19277893040762,2.38353036715168,3.84882307622078,0.000999999999999446
"Random",20,16,13.4783314227703,4.02041646160998,19.184817303686,5.42690785374217,10.880887693299,3.18050123039517,4.7829255808009,10.412877453564,7.34628475461023,14.1835812855229,3.6161512557017,8.13710459427909,0
"Random",20,17,4.85121051777744,1.53145120138326,6.06462141022197,2.10159912325941,4.29850361562002,1.18399069901002,1.37994607635071,2.24995769898401,1.76994679652509,2.89773808085688,1.20230131378189,1.88239606887599,0
"Random",20,18,13.6086774524397,3.83023949678821,16.2686470317804,4.73087302896659,12.3970651657983,3.34045613481835,4.00931797567472,7.76135450946667,5.67421482610336,10.923132613829,3.25095987427493,5.77317064878717,0
"Random",20,19,12.5995859380421,4.80889460968307,18.9782935550591,6.90445226112478,9.69409386711888,3.4561254093403,1.83243948493577,3.28514179526895,2.77267318789491,4.63324479497467,1.40416439650335,2.43511814228913,0
"Random",20,20,4.14179063288292,1.19891621869362,5.48603179140093,1.58119434755557,3.52992707254946,0.976551274128315,1.00859115484326,1.54471521611668,1.26697092263118,1.97918626158532,0.890983414866654,1.2997148477544,0
"Random",20,21,4.99858493058749,1.57870549647636,6.92234293256061,2.16114887066865,4.11918952414734,1.2233477664538,0.767887446167325,1.1852894443963,0.958393670848437,1.48340867703042,0.680802532830515,1.02040575356362,0
"Random",20,22,11.0393118245213,4.22606656512332,15.8185678604618,5.8618937175561,8.86546961419382,3.21770721389204,2.99228755431565,5.24344638434149,3.9933859347951,6.65416748359878,2.53693845817784,4.45639296425488,0
"Random",20,23,7.52276677878186,2.24702204938907,10.8457996709454,3.17863821289085,6.01236462382837,1.65880986257674,1.99753472615002,3.31178370684994,3.08554992543007,4.78287490025931,1.5030044115419,2.35699681902867,0
"Random",20,24,9.45220492006203,3.16551343567807,14.1749696655037,4.35266337915076,7.29485357619649,2.43792059874284,1.47381091276535,2.56331392907051,2.31189099275602,3.70530796805432,1.09097727944074,1.81672300390214,0
"Random",20,25,9.30726277245402,3.47004841620068,13.8880301577643,4.75843664316769,7.22072987020024,2.68556804973577,2.63597228586044,3.87871337234355,3.3673111095028,4.8805576937831,2.30284851207555,3.32373639383537,0
"Random",20,26,12.4657275619004,4.44203266264658,19.3126920959625,6.29714833393669,9.34027165293681,3.26153364684054,2.09640477606864,3.24512975192736,3.05170518128905,4.46590513765901,1.66033572948923,2.49677455249339,0
"Random",20,27,6.39977392497593,2.25000055704346,8.43105866664131,3.23182189738806,5.4758450792686,1.61691838371315,1.11757573005366,1.67748040776317,1.46894080928365,2.20631594822327,0.957757500036002,1.3710324172994,0
"Random",20,28,5.69266908590584,1.70624840967036,8.66786514943755,2.44988034330106,4.33747159276915,1.2261754050273,2.61240226485166,4.15275436651297,3.80792456015313,5.79568001178674,2.06784359275583,3.13056791674687,0.000999999999999446
"Random",20,29,8.22192496744052,2.30877638282754,8.90340251428457,2.70892997248539,7.91195524713687,2.10170820064322,1.79131221209398,2.62521283919902,2.18577706786237,3.20423914930563,1.61189007033979,2.31439855930186,0
"Random",20,30,6.11648546577565,1.87928744251133,8.88806846775097,2.72496498774274,4.85223292035332,1.3249948065401,2.12297256237039,4.10069977908693,3.066796972394,5.95711644992373,1.69244877435693,2.88075839890854,0
"Random",30,1,9.60720307446557,3.13008389175636,14.1633815094111,4.36765771591777,7.52723071493979,2.35826229507387,1.25162216141828,2.28775966401546,1.94309058141205,3.3348436179188,0.935955156359633,1.59567391990657,0
"Random",30,2,6.37554562722413,2.08036546385653,8.59323807915386,2.79435841254816,5.36529654110152,1.65602016159745,1.9243087182433,3.17113681714985,2.63819294232567,4.27541284791891,1.59910542670979,2.51200652077629,0
"Random",30,3,8.19698172521638,2.42838717904363,13.156275060018,3.54803795375686,5.93459511450332,1.68655148241778,4.40689694698914,7.52901436722008,6.87065367845087,10.4440319846035,3.28295249260528,5.72585337144371,0
"Random",30,4,8.4951172668816,3.49031016520834,11.930386531386,4.88442276140681,6.93244565192061,2.62131106630296,2.20150525547476,4.1724825030299,3.20437795968057,5.91665202158224,1.74530791325341,3.06672913293166,0
"Random",30,5,11.7768080915027,3.33106738438257,13.759401522375,4.06922387736925,10.8730113096078,2.93356592270771,1.12380988995915,1.80098221832803,1.52078312921133,2.42813157285592,0.942843318322404,1.42634152839567,0
"Random",30,6,10.1832712367477,2.98135905125718,14.3039125020174,3.98416007071138,8.29944418548145,2.38645486459094,3.37599712220662,5.57592135647139,4.92176909856051,7.78513857813736,2.66931899210881,4.19481079706328,0
"Random",30,7,5.53695274876149,1.60259001827386,6.82688960704782,2.05620707233735,4.94933405929638,1.34619360802385,1.6600147336589,2.61351911809484,2.49807919500905,3.71292042886153,1.27824229471946,1.91365150247847,0
