"method","n","replication","full_mae","full_rmse","bound_mae","bound_rmse","inter_mae","inter_rmse","runtime"
"QMC",50,25,1.46321283103159,4.06167630728137,1.46672498754604,4.06923288838236,0.60932873804122,1.24872549551287,0.0120000000000005
"QMC",50,26,1.4306899050324,4.26403647280577,1.43429577859943,4.27214745823114,0.554021092704055,1.16145221127467,0.0110000000000241
"QMC",50,27,1.84622477443115,5.67683957934155,1.85158266097187,5.68747037839718,0.458299208796144,0.964896769303012,0.0120000000000005
"QMC",50,28,1.44778682176481,3.87077466275771,1.45187899451702,3.87825106266942,0.452887760600008,0.94743987948034,0.0109999999999673
"QMC",50,29,1.56954528549151,4.34058895969443,1.57381072769779,4.34863694107828,0.488210309154577,1.05476487982492,0.0109999999999673
"QMC",50,30,1.19520619702539,3.5109428286391,1.19825213597036,3.51749154855372,0.439178768056344,0.949933149574472,0.0120000000000005
"QMC",60,1,1.59723110909668,4.04440324069679,1.60144440385882,4.05179170840954,0.530012510306032,1.09786389633169,0.0109999999999673
"QMC",60,2,1.25970153929445,3.38154121546523,1.26287468686251,3.38788409770768,0.488885712710954,1.00223394387133,0.0110000000000241
"QMC",60,3,2.01878269792555,7.24249041154078,2.02506591704131,7.25658311268163,0.427256664455611,0.834884390968261,0.0120000000000005
"QMC",60,4,1.45822187430666,3.67486274781291,1.46157583626192,3.68119841495451,0.590129025628462,1.20078423708285,0.0109999999999673
"QMC",60,5,1.40142416031927,3.52676830767992,1.4052700735295,3.5333878258025,0.447637684183918,0.920791230715461,0.0110000000000241
"QMC",60,6,1.88196713443746,5.25623806181478,1.88749823163161,5.26621655348782,0.480951983453729,1.01597804024539,0.0120000000000005
"QMC",60,7,1.59941971257626,4.40878249636259,1.60397504497022,4.41706489738625,0.445563709381318,0.959942380350119,0.0110000000000241
"QMC",60,8,1.33454684751026,4.35500624826892,1.33806256102342,4.36337219017318,0.462649896246445,0.93679903855787,0.0110000000000241
"QMC",60,9,1.69112541148529,4.63276283845976,1.69603654930675,4.64177961396351,0.498119830079589,1.07148804929097,0.0110000000000241
"QMC",60,10,1.314042407011,3.99735045166788,1.31764118597059,4.00511695697166,0.439832897706912,0.938691241646479,0.0120000000000005
"QMC",60,11,1.44544336203236,3.87687226596826,1.44938841872133,3.88413231766649,0.467069303167054,1.02786454788275,0.0110000000000241
"QMC",60,12,1.65501084879457,4.42157908799597,1.65986872701419,4.43006565637781,0.45025705032825,0.959468448938484,0.0110000000000241
"QMC",60,13,1.87067695804862,6.53604481727175,1.87586907795623,6.54900017119661,0.609415667022579,1.24097655887162,0.0120000000000005
"QMC",60,14,1.09329630248746,2.70690236189566,1.09608365221477,2.71189486171908,0.416197857504063,0.869233108469138,0.0120000000000005
"QMC",60,15,1.39524005216849,3.41217247305183,1.39834707542566,3.41800253520462,0.608237671814831,1.24760264866587,0.0120000000000005
"QMC",60,16,1.20753615309747,3.11039867378989,1.21032177839949,3.11581358117528,0.486543656447231,0.97387028511814,0.0109999999999673
"QMC",60,17,1.32839682241627,3.54749969320699,1.33188265169807,3.55393418037933,0.426173269609415,0.870593368364121,0.0120000000000005
"QMC",60,18,1.92836871337278,5.86292933259843,1.93319076517382,5.87403974721943,0.757003762602752,1.64218007572748,0.0109999999999673
"QMC",60,19,1.28799753515876,3.78505648928736,1.29107427918579,3.79202244964372,0.524965016455493,1.11211870485792,0.0120000000000005
"QMC",60,20,1.8220842441341,7.15907828301844,1.82675780838763,7.17297603049107,0.663040309257108,1.36196567590732,0.0120000000000005
"QMC",60,21,1.47209256184805,3.92133243110252,1.47615288417788,3.92876207145497,0.465132624050244,0.95532720641072,0.0110000000000241
"QMC",60,22,1.82106499467748,5.05702687299907,1.82641421633494,5.06666073132077,0.466118530167466,0.932381745370755,0.0110000000000241
"QMC",60,23,1.46169437916676,3.73529770321937,1.46567032336827,3.74238658055627,0.495864505073345,1.03717799366961,0.0109999999999673
"QMC",60,24,1.47986743653401,4.17771178702801,1.4841743055703,4.18572299566922,0.411763915533606,0.914862266760806,0.0110000000000241
"QMC",60,25,1.53860803834653,3.93347207319985,1.54248015132421,3.9407493564274,0.598000675624851,1.24589968835277,0.0120000000000005
"QMC",60,26,1.24621039089448,2.99442820611243,1.24926476319989,2.9997959687848,0.504247257194849,1.07264284568593,0.0110000000000241
"QMC",60,27,1.55824798690892,4.32810975589123,1.56253414644239,4.33608805338089,0.448878086787524,0.917081815769476,0.0109999999999673
"QMC",60,28,1.28766771921202,3.30041813189437,1.29115678735226,3.30672458318815,0.440108983021757,0.878025466116794,0.0110000000000241
